Lung'Ie (Principense),Portugues,Tipo,Uso IA
N ka fêzê modi ningê ki sêbê kuda fa.,Eu fiz como se não soubesse responder.,Exemplo gramatical,Tradução
Kêdê ?a owo tê pwe sê a?,Cada um de vocês tem seu próprio pai?,Exemplo gramatical,Tradução
Kêdê dya n ka kume kumê difêrentxi.,Cada dia eu como uma comida diferente.,Exemplo gramatical,Tradução
N ka sama kêdê migu me.,Eu vou chamar cada um dos meus amigos.,Exemplo gramatical,Tradução
Upuru! Vedadi a?,Nossa! Verdade?,Exemplo gramatical,Tradução
"Setxi ki xinku, kantu ê ka da?",Quanto dá sete mais cinco?,Exemplo gramatical,Tradução
Kantu ê ka da setxi ki xinku?,Sete mais cinco dá quanto?,Exemplo gramatical,Tradução
Xi txi zunta setxi ki xinku ê ka da dôzê.,Se você somar sete com cinco dá doze.,Exemplo gramatical,Tradução
Ê ka da dôzê xi txi zunta setxi ki xinku.,Dá doze se você somar sete com cinco.,Exemplo gramatical,Tradução
"I kinji menu kwatu, kantu ê ka da?","E quinze menos quatro, quanto dá?",Exemplo gramatical,Tradução
Têêzê vêzi têêxi kantu ê ka da?,"Treze vezes três, dá quanto?",Exemplo gramatical,Tradução
"I sêsenta divididu pô têêxi, kantu ê ka da?","E sessenta dividido por três, quanto dá?",Exemplo gramatical,Tradução
N vê za ya txi sêbê.,Já vi que você sabe.,Exemplo gramatical,Tradução
N sêbê ya txi sa ke txya bon nota.,Eu sei que você vai tirar uma boa nota.,Exemplo gramatical,Tradução
Ora poova tava sa komesa...,Quando a prova estava começando...,Exemplo gramatical,Tradução
Zo n ka fêzê poova n ka tê mendu.,"Quando eu fizer a prova, terei medo.",Exemplo gramatical,Tradução
Ora ki poova tava sa komesa...,Quando a prova estava começando...,Exemplo gramatical,Tradução
Zo ki n ka fêzê poova n ka tê mendu.,"Quando eu fizer a prova, terei medo.",Exemplo gramatical,Tradução
A keka.,Eles (indf.) virão.,Exemplo gramatical,Tradução
A sama mi.,Me chamaram.,Exemplo gramatical,Tradução
A fêzê kaxi u?a na lala.,Fizeram (indf.) uma casa lá.,Exemplo gramatical,Tradução
N ka tê ropa me.,Terei minha roupa.,Exemplo gramatical,Tradução
N maxi sa tê ropa Sonlensu fa.,Ainda não terei uma roupa de São Lourenço.,Exemplo gramatical,Tradução
N ka mendu.,Terei/tenho medo.,Exemplo gramatical,Tradução
Txi sa mendu fa.,Voce não terá/tem medo.,Exemplo gramatical,Tradução
Txi sa ke txya bon nota.,Você vai tirar uma boa nota.,Exemplo gramatical,Tradução
Ê keka.,Ele virá.,Exemplo gramatical,Tradução
N tava mêsê pa atxi xipika mi swa Sonlensu.,Eu queria que você me explicasse a história de São Lourenço.,Exemplo gramatical,Tradução
N we kaxi pa n kuxi.,Vou para casa para cozinhar.,Exemplo gramatical,Tradução
N sa ke rêgê pemya vya ukuru.,Vou levantar amanhã quando ainda estiver escuro.,Exemplo gramatical,Tradução
Sabiina vya sa kuxi.,Sabrina ainda está cozinhando.,Exemplo gramatical,Tradução
N pixiza kwê pwê we kaxi.,Preciso ir correndo para casa.,Exemplo gramatical,Tradução
Ê kwê pwê umatu.,Ele correu para dentro da floresta.,Exemplo gramatical,Tradução
"Xi n ka sa kuxi wo sê, no ka tê kumê za.","Se eu tivesse cozinhando agora, nós já teríamos comida.",Exemplo gramatical,Tradução
Txi ka sa pudya we uvôdô.,Você poderia estar indo para a festa.,Exemplo gramatical,Tradução
"Xi n ka sa xtuda wo sê, n ka sêbê fala lung’Ie za.","Se eu tivesse estudando agora, eu já saberia falar lung’Ie.",Exemplo gramatical,Tradução
Doxi ki pasa. (lit: ‘Doce que passa’).,Muito doce.,Exemplo gramatical,Tradução
Txi sêbê fala ki lunge a?,Quais línguas você sabe falar?,Exemplo gramatical,Tradução
N sa mêsê kume li wo sê!,Eu estou querendo comê-lo agora mesmo!,Exemplo gramatical,Tradução
N sa mêsê kume li wo sê fa!,Eu não estou querendo comê-lo agora!,Exemplo gramatical,Tradução
N mêsê urumu maji n mêsê fuuta fa.,"Eu quero safu, mas não quero fruta-pão.",Exemplo gramatical,Tradução
Axi mesu ki n mêsê mutu sa da pa n we fa.,"Embora eu queira muito, não dá para eu ir.",Exemplo gramatical,Tradução
Ixila kaxi-gaani.,Aquilo é a casa-grande.,Exemplo gramatical,Tradução
Kaxi xila ê kaxi patran.,"Aquela casa, ela é a casa do patrão.",Exemplo gramatical,Tradução
Kaxi sê. (Não se pode dizer *kaxi isê).,Esta casa.,Exemplo gramatical,Tradução
I kwisê? Txi sêbê a?,E isto? Você sabe (o que é)?,Exemplo gramatical,Tradução
Kusê sekadô kakaw.,Isto é um secador de cacau.,Exemplo gramatical,Tradução
Sekadô sê ê sêkado kakaw.,"Este secador, ele é um secador de cacau.",Exemplo gramatical,Tradução
N mêsê we fya pôkê kaxi me sa seku bôrôrô.,Eu quero ir ao mercado porque minha casa está muito vazia.,Exemplo gramatical,Tradução
Sabiina we kaxi pôkê mwin sê sama li.,Sabrina foi para casa porque sua mãe lhe chamou.,Exemplo gramatical,Tradução
Doxi mene mene!,É muito gostoso!,Exemplo gramatical,Tradução
Bôlô sê sa mene mene.,Esse bolo está muito doce!,Exemplo gramatical,Tradução
A: Txi sêbê a?,Você sabe?,Exemplo gramatical,Tradução
"B: Êê, n sa sêbê!","Sim, eu estou sabendo!",Exemplo gramatical,Tradução
A: N sêbê.,Eu sei.,Exemplo gramatical,Tradução
B: Txi sêbê fô!,Você não sabe!,Exemplo gramatical,Tradução
"A: Êê, n sa sêbê!","Sim, eu estou sabendo!",Exemplo gramatical,Tradução
N ka sama Zwan bê.,Eu chamarei o João também.,Exemplo gramatical,Tradução
No sa sama Zwan fa.,Nós não chamaremos o João.,Exemplo gramatical,Tradução
No ka vê amanhan ô!,Nós nos veremos amanhã!,Exemplo gramatical,Tradução
"Dina minu sa keka lêlê mi, n sa ke mundya xiivisu na sumana ki keka.","Já que ela vai vir me visitar, eu resolvi não trabalhar semana que vem.",Exemplo gramatical,Tradução
"Dina, no ka vê amanhan!",Então nos vemos amanhã.,Exemplo gramatical,Tradução
Amanhan ora n keka txi sa xtuda za a?,"Amanhã, na hora que eu vier, você vai estar estudando?",Exemplo gramatical,Tradução
"Ade ô, ora txi keka n sa xtuda fa ô.","Não, na hora que você vier eu não vou estar estudando.",Exemplo gramatical,Tradução
N sa kuxi matabisu da txi.,Eu vou estar preparando o café-da-manhã para você.,Exemplo gramatical,Tradução
N tava na biblioteca za pa n xtuda.,Eu estava na biblioteca para estudar.,Exemplo gramatical,Tradução
We kopa gaava za pa n kume.,Vá comprar goiabas para então comê-las.,Exemplo gramatical,Tradução
"N fa, txi konsê zêtu di fêzê li a?","Olha, você sabe como se faz?",Exemplo gramatical,Tradução
Xtuda ô!,Estude!,Exemplo gramatical,Tradução
We pya kadeenu tê.,Vá olhar o seu caderno!,Exemplo gramatical,Tradução
Daka kadeenu.,Traga o caderno!,Exemplo gramatical,Tradução
Pesa livu na biblyoteka.,Pegue emprestado o livro na biblioteca!,Exemplo gramatical,Tradução
Kopa izêtxi.,Compre óleo de palma!,Exemplo gramatical,Tradução
Xtuda fô!,Não estude!,Exemplo gramatical,Tradução
Daka kadeenu fa.,Não traga o caderno!,Exemplo gramatical,Tradução
Kopa izêtxi fa.,Não compre óleo de palma!,Exemplo gramatical,Tradução
Ê sa dwa mi.,Está a (me) doer.,Exemplo gramatical,Tradução
Ami mesu fii igbê me.,Eu mesmo me feri.,Exemplo gramatical,Tradução
N koota ami mesu na uman.,Eu mesmo me cortei na mão.,Exemplo gramatical,Tradução
Atxi mesu fii kabese tê ki ufaka a?,Você mesmo se feriu com a faca?,Exemplo gramatical,Tradução
Uman tê koota ki ufaka.,Sua mão foi cortada com a faca.,Exemplo gramatical,Tradução
Upanu me lava za.,Minha roupa já foi lavada.,Exemplo gramatical,Tradução
"Uman me ki n fii lava, kuratxivu fêzê.",A minha mão foi lavada e foi feito um curativo nela.,Exemplo gramatical,Tradução
N tava sa koota pêxi fumadu.,Eu estava cortando peixe defumado.,Exemplo gramatical,Tradução
N koota uman mali kootadu.,Eu cortei a mão bem cortada.,Exemplo gramatical,Tradução
Ufaka sê sa koota ?a.,Esta faca está cortando muito.,Exemplo gramatical,Tradução
"Dinixi, n sa ke fala Sabiina.","Sendo assim, eu vou falar pra Sabrina.",Exemplo gramatical,Tradução
Ine ôtô mêsê ôtô a?,Eles se gostam?,Exemplo gramatical,Tradução
"Êê, Luja ki Zwan ôtô mêsê ôtô ô!","Sim, Luzia e João se gostam!",Exemplo gramatical,Tradução
"Zwan, êli ki pidi li kazamentu.","João, foi ele que a pediu em casamento.",Exemplo gramatical,Tradução
"Luja, êli ki tama konta ine riman.","Luzia, era ela que tomava conta dos irmãos.",Exemplo gramatical,Tradução
"Luja ki Zwan, ine sa ki gôxtô mutu.","Luzia e João, eles estão muito felizes.",Exemplo gramatical,Tradução
"Antxi pa ine we, ine pixiza di manda kaagu ine.","Antes de eles irem, precisam mandar as suas malas.",Exemplo gramatical,Tradução
Ora ine ka kaba di kaza,Depois de eles se casarem.,Exemplo gramatical,Tradução
Mo kavalu sa kwê a?,Como vão as coisas?,Exemplo gramatical,Tradução
N sa ki uê na ufi-kumi sa wada txi ô!,Estou te esperando ansiosamente.,Exemplo gramatical,Tradução
Bamu buka modi pa no bii uê na lung’Ie.,Vamos buscar uma maneira para prestarmos mais atenção ao lung’Ie.,Exemplo gramatical,Tradução
Ami n mêsê pa txi tê gôxtô na kosan.,Quero que você tenha alegria no coração.,Exemplo gramatical,Tradução
No tava sa fêzê kwa kwa.,Nós estávamos fazendo várias coisas.,Exemplo gramatical,Tradução
N sa wada kwa txi ka po fala.,Estou aguardando o que você poderá me dizer.,Exemplo gramatical,Tradução
N sa wada kwa txi ka podi fala.,Estou aguardando o que você poderá me dizer.,Exemplo gramatical,Tradução
Ê xiga ora wo.,Chegou o momento.,Exemplo gramatical,Tradução
segunda pessoa plural,interjeição,Vocabulario,Dicionário
terceira pessoa plural,locativo,Vocabulario,Dicionário
terceira pessoa singular,substantivo,Vocabulario,Dicionário
artigo,numeral,Vocabulario,Dicionário
objeto direto,advérbio                   oi.     objeto indireto,Vocabulario,Dicionário
antropônimo,partícula,Vocabulario,Dicionário
passado,conjunção                  poss.   possessivo,Vocabulario,Dicionário
cópula,preposição,Vocabulario,Dicionário
demonstrativo,pronome,Vocabulario,Dicionário
aspecto,expressão                  top.    topônimo,Vocabulario,Dicionário
futuro,verbo,Vocabulario,Dicionário
"VOCABULÁRIO
  a",partícula             modi 1. adj. como; 2.,Vocabulario,Dicionário
interrogativa,como; 3. pro. como,Vocabulario,Dicionário
ade,não                  n pro. 1SG.SUJ,Vocabulario,Dicionário
inhan,atxi 1. pro. 2SG.DES; 2.      sim,Vocabulario,Dicionário
ningê,pessoa,Vocabulario,Dicionário
Baji,Brasil              pro. 1PL.OI; 5. pro. 1PL.DES,Vocabulario,Dicionário
nomi,nome,Vocabulario,Dicionário
"rtícula enfática
  biologu",biólogo,Vocabulario,Dicionário
paatxi,parte,Vocabulario,Dicionário
paga,pagar,Vocabulario,Dicionário
dêsu,Deus,Vocabulario,Dicionário
Pikan,Picão,Vocabulario,Dicionário
faa,falar,Vocabulario,Dicionário
"por
  faa bê",Putuga top. Portugal,Vocabulario,Dicionário
"partícula de
  fo",vir de,Vocabulario,Dicionário
Santantoni,Santo,Vocabulario,Dicionário
kaxi,casa,Vocabulario,Dicionário
kumin,onde,Vocabulario,Dicionário
lala,lá                  3. v. viver,Vocabulario,Dicionário
malimentê,mais ou        tê v. ter,Vocabulario,Dicionário
Manuel              zuda,ajuda,Vocabulario,Dicionário
"Topônimos
    Abya Fiminga",Ribeira Formiga   Pôtxin top. Portinho,Vocabulario,Dicionário
Abya Fooka,Ribeira Forca       Ramasan top. Armação,Vocabulario,Dicionário
Abya Fyô,Ribeira Fria          San Zwan top. São João,Vocabulario,Dicionário
